timestamp,action,item,amount,context
5446.462,add,spirit_thread,1,
5501.488,add,spirit_thread,1,
5556.512,add,spirit_thread,1,
5611.531,add,spirit_thread,1,
5666.548,add,spirit_thread,1,
5721.564,add,spirit_thread,1,
5776.594,add,spirit_thread,1,
5831.595,add,spirit_thread,1,
5886.626,add,spirit_thread,1,
5941.648,add,spirit_thread,1,
5996.666,add,spirit_thread,1,
6051.672,add,spirit_thread,1,
6106.696,add,spirit_thread,1,
6161.727,add,spirit_thread,1,
6216.751,add,spirit_thread,1,
6271.782,add,spirit_thread,1,
6326.788,add,spirit_thread,1,
6381.806,add,spirit_thread,1,
6436.818,add,spirit_thread,1,
6491.846,add,spirit_thread,1,
6546.865,add,spirit_thread,1,
6601.870,add,spirit_thread,1,
6656.873,add,spirit_thread,1,
6711.880,add,spirit_thread,1,
6766.894,add,spirit_thread,1,
6821.916,add,spirit_thread,1,
6876.920,add,spirit_thread,1,
6931.941,add,spirit_thread,1,
6986.961,add,spirit_thread,1,
7041.989,add,spirit_thread,1,
7096.998,add,spirit_thread,1,
7152.008,add,spirit_thread,1,
7207.022,add,spirit_thread,1,
7262.052,add,spirit_thread,1,
7317.068,add,spirit_thread,1,
7372.078,add,spirit_thread,1,
7427.101,add,spirit_thread,1,
7482.118,add,spirit_thread,1,
7537.145,add,spirit_thread,1,
7592.176,add,spirit_thread,1,
7647.207,add,spirit_thread,1,
7702.240,add,spirit_thread,1,
7757.274,add,spirit_thread,1,
7812.286,add,spirit_thread,1,
7867.306,add,spirit_thread,1,
7922.338,add,spirit_thread,1,
7977.348,add,spirit_thread,1,
8032.356,add,spirit_thread,1,
8087.387,add,spirit_thread,1,
8142.403,add,spirit_thread,1,
8197.417,add,spirit_thread,1,
8252.418,add,spirit_thread,1,
8307.428,add,spirit_thread,1,
8362.430,add,spirit_thread,1,
8417.451,add,spirit_thread,1,
8472.453,add,spirit_thread,1,
8527.470,add,spirit_thread,1,
8582.498,add,spirit_thread,1,
8637.521,add,spirit_thread,1,
8692.546,add,spirit_thread,1,
8747.575,add,spirit_thread,1,
8802.580,add,spirit_thread,1,
8857.609,add,spirit_thread,1,
8912.631,add,spirit_thread,1,
8967.651,add,spirit_thread,1,
9022.679,add,spirit_thread,1,
9077.692,add,spirit_thread,1,
9132.710,add,spirit_thread,1,
9187.716,add,spirit_thread,1,
9242.745,add,spirit_thread,1,
9297.747,add,spirit_thread,1,
9352.766,add,spirit_thread,1,
9407.775,add,spirit_thread,1,
9462.788,add,spirit_thread,1,
9517.795,add,spirit_thread,1,
9572.815,add,spirit_thread,1,
9627.822,add,spirit_thread,1,
9682.837,add,spirit_thread,1,
9737.843,add,spirit_thread,1,
9792.863,add,spirit_thread,1,
9847.872,add,spirit_thread,1,
9902.882,add,spirit_thread,1,
9957.885,add,spirit_thread,1,
10012.902,add,spirit_thread,1,
10067.904,add,spirit_thread,1,
10122.922,add,spirit_thread,1,
10177.928,add,spirit_thread,1,
10232.930,add,spirit_thread,1,
10287.935,add,spirit_thread,1,
10342.959,add,spirit_thread,1,
10397.980,add,spirit_thread,1,
10453.001,add,spirit_thread,1,
10508.022,add,spirit_thread,1,
10563.022,add,spirit_thread,1,
10618.041,add,spirit_thread,1,
10673.061,add,spirit_thread,1,
10728.067,add,spirit_thread,1,
10783.086,add,spirit_thread,1,
10838.111,add,spirit_thread,1,
10893.119,add,spirit_thread,1,
10948.135,add,spirit_thread,1,
11003.150,add,spirit_thread,1,
11058.156,add,spirit_thread,1,
11113.156,add,spirit_thread,1,
11168.161,add,spirit_thread,1,
11223.191,add,spirit_thread,1,
11278.221,add,spirit_thread,1,
11333.238,add,spirit_thread,1,
11388.256,add,spirit_thread,1,
11443.286,add,spirit_thread,1,
48.062,add,ember_salt,1,
96.073,add,ember_salt,1,
48.053,add,ember_salt,1,
55.077,add,spirit_thread,1,
110.094,add,spirit_thread,1,
165.103,add,spirit_thread,1,
220.110,add,spirit_thread,1,
